frame,time_s,r_mean,g_mean,b_mean
1,0.0,160.37415764240455,113.43266168236833,101.62654641767527
2,0.03333333333333333,161.00377172843557,113.8656608724172,101.60596917021975
3,0.06666666666666667,160.37673275438308,113.44135670981484,101.0987710961822
4,0.1,161.3993241706469,113.96490886051272,101.57923124411086
5,0.13333333333333333,161.32554547844373,113.86704784437434,101.29705573080967
6,0.16666666666666666,160.88608252442944,113.54812842904913,101.10820374638834
7,0.2,160.56804522270232,113.4880608167376,100.80760858971445
8,0.23333333333333334,161.01893456293536,113.64805912554368,101.26792897086236
9,0.26666666666666666,160.4581692595701,113.47014395455427,100.78903879672069
10,0.3,161.32131019691946,114.05914083317086,101.49792032235003
11,0.3333333333333333,161.99227012516576,114.50619360263916,101.66221417251528
12,0.36666666666666664,161.94500919740534,114.48129860909413,101.79446219382321
13,0.4,161.6352384655262,114.4415176257128,101.34486780715396
14,0.43333333333333335,161.83456686832284,114.39252156004635,101.70327583987644
15,0.4666666666666667,161.41565838589267,114.25360406744755,101.31358604711032
16,0.5,161.34798229293642,114.09238467954066,101.50224546096106
17,0.5333333333333333,161.01881746415336,113.85274689866279,101.1103592717899
18,0.5666666666666667,161.16804892888018,113.89926030292355,101.50709276633897
19,0.6,161.5239515198153,114.1037899191997,101.6374246505066
20,0.6333333333333333,161.03293731285618,113.69364757397211,101.34260600792041
21,0.6666666666666666,160.7023336158008,113.56189296656021,101.03617756339222
22,0.7,161.06272036228367,113.52764030405952,101.39954714539867
23,0.7333333333333333,161.07991178569114,113.52743724460012,101.3001556723098
24,0.7666666666666667,160.8118230458045,113.27084692679107,101.2606028970377
25,0.8,160.41534314203125,113.27873591217643,100.87359121764267
26,0.8333333333333334,160.48288014484788,113.29273497364932,101.05664586633903
27,0.8666666666666667,160.0154978439192,112.97834192523425,100.65661576370651
28,0.9,160.17860609590372,112.75800815375656,100.73597359735975
29,0.9333333333333333,160.3775785336062,112.91901374135074,100.83120553552286
30,0.9666666666666667,160.55082494177847,113.4088955948437,101.08101813887887
31,1.0,160.17356209150327,112.96421568627451,100.88781045751635
32,1.0333333333333334,160.3085896424816,113.18454258675078,100.72670215562566
33,1.0666666666666667,160.5053512803677,113.43371634931059,100.90236375574524
34,1.1,160.65702983352563,113.65544750288446,100.78018790176364
35,1.1333333333333333,160.469981887041,113.381425983863,101.00638893462867
36,1.1666666666666667,160.2596943617265,113.38895251807978,100.72289669164567
37,1.2,160.33541212961129,113.28113244901999,100.95984293539232
38,1.2333333333333334,160.24897758874528,113.40454768526091,100.71670211025682
39,1.2666666666666666,161.09486075784258,113.80806104480533,101.4258136046436
40,1.3,160.39912339400428,113.90778907922913,101.20774223768737
41,1.3333333333333333,159.76235151187905,113.31118385529159,101.17491225701944
42,1.3666666666666667,159.90987716641428,113.56897189971396,101.15345784957093
43,1.4,160.9846848353118,113.9802374184919,101.77709413141615
44,1.4333333333333333,161.68227091633466,114.46547144754315,101.70026560424967
45,1.4666666666666666,161.12731534982007,114.03361178063197,101.7739294086572
46,1.5,161.1012960323511,114.21575126785774,101.53163843680599
47,1.5333333333333334,161.05539214066164,113.89820537396304,101.62071586740258
48,1.5666666666666667,160.94703515599235,113.97437504122419,101.38961809906998
49,1.6,161.07801231600092,113.83696117495965,101.420686929891
50,1.6333333333333333,160.78457174895286,113.86144916064774,101.08132977144554
51,1.6666666666666667,161.31973968212438,113.92445549087579,101.75537968474066
52,1.7,160.614844107458,113.70396757958036,101.03738806457939
53,1.7333333333333334,160.80121890957008,113.69319716685884,101.70281666941196
54,1.7666666666666666,161.50767726161368,114.18529747351263,101.68632436837815
55,1.8,161.80150588544748,114.3020977181561,101.98073255737488
56,1.8333333333333333,161.25377426312008,114.05189203320046,101.49186327691001
57,1.8666666666666667,161.42890995260663,114.11137440758293,101.71695629278567
58,1.9,161.12754334314687,113.85456329735035,101.25577363428198
59,1.9333333333333333,161.08439656294752,113.60545501887773,101.21273271709411
60,1.9666666666666666,161.92264453086702,114.19000620935324,101.9725154416811
61,2.0,161.52863595898316,114.24042995153154,101.57360941672987
62,2.033333333333333,161.9670018130872,114.39522004285477,101.9825284325037
63,2.066666666666667,161.6622050366845,114.26571485227046,101.74049838059355
64,2.1,162.08834307219965,114.5595061239312,102.33679970948467
65,2.1333333333333333,161.96774193548387,114.76047726070863,102.11660497091486
66,2.1666666666666665,161.75602757346877,114.6016689204789,102.09739767142716
67,2.2,161.26572499088167,114.39828906793993,101.64567790709242
68,2.2333333333333334,161.5493041749503,114.44844267726971,102.10596421471173
69,2.2666666666666666,161.43089727435506,114.40698985343856,102.18602029312288
70,2.3,161.17681860965442,114.21144278606964,102.33901438752184
71,2.3333333333333335,160.98594370805648,114.06607458849454,102.11832660011352
72,2.3666666666666667,161.52369152462913,114.35944144928506,102.27030104142248
73,2.4,160.88970440378043,114.050439037469,101.69662846035257
74,2.433333333333333,161.73213805166844,114.48617465016146,102.21212325080731
75,2.466666666666667,161.380872426878,114.22146479062427,102.03347996910576
76,2.5,161.8732459777741,114.24086913252613,102.2183446674407
77,2.533333333333333,161.6927931797905,113.90047252420447,101.93777880580247
78,2.566666666666667,162.31723817735624,114.27094249519135,102.31873051668104
79,2.6,161.7025987801644,113.91610315566163,101.75835322195705
80,2.6333333333333333,161.50878400524417,113.78577515568665,101.6276302851524
81,2.6666666666666665,161.7077828646174,113.84617396991497,101.8631458469588
82,2.7,162.04029134249296,114.10657175964243,102.016090051316
83,2.7333333333333334,161.79040057505063,113.96804548127817,101.86074625890348
84,2.7666666666666666,161.72364206810903,113.86976272959018,102.0000980456239
85,2.8,161.5357976014457,113.777493017907,101.84425825529817
86,2.8333333333333335,161.81654214527862,114.0725405654478,101.99476681038739
87,2.8666666666666667,161.31514851485147,113.86706270627062,101.53462046204619
88,2.9,161.48252164144583,113.96547280777109,101.489658362519
89,2.933333333333333,161.78483593082132,113.9859604129677,101.94150720063128
90,2.966666666666667,161.80487327527158,114.28574224483805,101.7840623674854
91,3.0,161.78645730462833,114.03574955559944,101.79070379880176
92,3.033333333333333,161.44083366258397,113.94224944027394,101.55867246147768
93,3.066666666666667,162.15878723895617,114.3844148988816,102.17854904160207
94,3.1,161.87025731915452,114.44538532230537,101.83838781672574
95,3.1333333333333333,162.1912344057781,114.50866710439922,102.20623768877216
96,3.1666666666666665,161.45114065320863,114.13668143771542,101.41710159199081
97,3.2,162.0767892317794,114.3794812869337,102.10393959290874
98,3.2333333333333334,161.716723996724,114.26800982800984,101.73880425880427
99,3.2666666666666666,161.9930635458102,114.25730628883265,101.99983562904764
100,3.3,161.5554208180388,114.19854483481909,101.49839407446251
101,3.3333333333333335,162.3969859145681,114.53843123091572,102.17844830416654
102,3.3666666666666667,161.8306363906008,114.27650528952312,101.72972349471047
103,3.4,162.16407181661586,114.39018815423346,102.10878494766132
104,3.433333333333333,161.73591676818225,114.08428538504592,101.72498600730911
105,3.466666666666667,162.2485434975807,114.31911391988413,102.21473947532996
106,3.5,161.99603738070866,114.19337582141797,101.90476504969786
107,3.533333333333333,162.02325427322114,114.14697893202596,102.17742149198357
108,3.566666666666667,161.6603842091365,113.953162133615,101.75369685767097
109,3.6,162.65931258708778,114.49127463340189,102.40969411452458
110,3.6333333333333333,162.1022294365124,114.19220194123297,101.89220525391724
111,3.6666666666666665,162.64856177094381,114.5050702545069,102.4314024390244
112,3.7,162.21280248258557,114.27826747218646,101.88385989237727
113,3.7333333333333334,162.43233357717628,114.34953780674336,102.49328323468777
114,3.7666666666666666,162.2445901857647,114.2257806778081,102.12171249750315
115,3.8,162.1160412944213,114.10793461716631,102.08268810800081
116,3.8333333333333335,162.14984495348605,114.02994231602815,101.94268280484145
117,3.8666666666666667,161.78368096112132,114.02322709828134,102.1054897380277
118,3.9,162.2267011711622,114.22743107395242,102.33724826648087
119,3.933333333333333,161.86830112105386,114.1003293303616,101.97641462359869
120,3.966666666666667,162.04645484839486,114.18156323204327,102.1756244019928
121,4.0,161.5725936400408,113.93495346772337,101.77835509224244
122,4.033333333333333,161.91491326429656,114.12772904161994,102.01906206714597
123,4.066666666666666,161.78889584913125,114.13369160265076,101.6748211400877
124,4.1,162.26753367394332,114.40674142392675,102.0980027868091
125,4.133333333333334,161.8648246686717,114.15979773275605,101.83058465809563
126,4.166666666666667,162.21166683108086,114.28190457400282,102.26917891552398
127,4.2,161.66712885015352,114.10597207091214,101.99131755306857
128,4.233333333333333,161.73083202825632,114.05634600646431,102.14624637632869
129,4.266666666666667,161.45920536841405,113.87768254601022,101.84828250614576
130,4.3,161.80147231052368,114.03058390496905,102.36884724778317
131,4.333333333333333,161.18274061013338,113.79949432782195,101.73392328420772
132,4.366666666666666,161.63198834861475,113.93975704213697,102.0488563768164
133,4.4,161.32419574836155,113.90136065737381,101.89181276822248
134,4.433333333333334,162.4310652648284,114.59826092706473,102.60040997156648
135,4.466666666666667,162.15550223288676,114.65113643937879,102.39602079584084
136,4.5,160.6252710761724,113.65237869341284,102.03195310382216
137,4.533333333333333,160.22160283541515,113.30934929974879,101.87773992636178
138,4.566666666666666,159.55409265064438,113.03389063044236,101.5198537095089
139,4.6,159.4661986027597,113.11775746411317,101.4237252789267
140,4.633333333333334,160.10604008197006,113.3044006807683,101.97523531659199
141,4.666666666666667,159.67468071742618,113.00492009212087,101.55631935236234
142,4.7,160.16485117602164,113.31832373551654,101.80947755498508
143,4.733333333333333,159.37838212848618,112.97613431386152,101.21950881087831
144,4.766666666666667,159.89750954499283,113.22161897089215,101.62040701951032
145,4.8,159.62210133556508,113.25891829689297,101.3780032778882
146,4.833333333333333,159.1265528770016,112.63392574344536,101.32528594052437
