frame,time_s,pos_filtered,pos_raw
1,0.0,0.11153422288767578,0.0
2,0.03333333333333333,-0.18957251819745813,-0.7226104807013122
3,0.06666666666666667,-0.4074803007820885,0.06172661049338758
4,0.1,-0.553726621141716,-0.7842059574065163
5,0.13333333333333333,-0.5854459216713592,-0.1253463312372448
6,0.16666666666666666,-0.49186123111934155,-0.27551231560351364
7,0.2,-0.2804491845170409,1.0217918809717708
8,0.23333333333333334,0.024386009440832516,-0.5806679616130151
9,0.26666666666666666,0.3849124877278972,1.1782804353659964
10,0.3,0.7553157353978343,0.08392614552264374
11,0.3333333333333333,1.0877936595839424,0.5660104962043663
12,0.36666666666666664,1.3386631779850906,0.04880403596293359
13,0.4,1.4736991411849303,1.9636253118330962
14,0.43333333333333335,1.472067417562735,0.12620813643674123
15,0.4666666666666667,1.3284215865099278,1.5257269994436937
16,0.5,1.0529925040356307,0.1852194196517458
17,0.5333333333333333,0.6697842248247758,0.9656542055464894
18,0.5666666666666667,0.2132534044540404,-0.4705175161022153
19,0.6,-0.2759573334641866,-0.5258279018815303
20,0.6333333333333333,-0.7555772009769228,-0.6517240032914994
21,0.6666666666666666,-1.1859413313754434,0.3426583607176658
22,0.7,-1.5334323777501742,-1.699722829685738
23,0.7333333333333333,-1.772864500654723,-1.3724008517716488
24,0.7666666666666667,-1.8887521449065856,-2.0324900307226605
25,0.8,-1.8755827866703876,0.02585055320415721
26,0.8333333333333334,-1.7373369665169622,-0.6712336665360469
27,0.8666666666666667,-1.486541696121231,-0.006239222380507202
28,0.9,-1.1430799458241379,-1.620317812352984
29,0.9333333333333333,-0.7328285674075057,-1.51456156117025
30,0.9666666666666667,-0.2860392348390966,-0.3207947220958934
31,1.0,0.16468937598390343,-1.2053078261998793
32,1.0333333333333334,0.5869231494068082,0.20563534103184467
33,1.0666666666666667,0.9512705013086984,0.4832008067999121
34,1.1,1.2342882912692574,1.7572088905634113
35,1.1333333333333333,1.420927691837219,-0.10197692593572905
36,1.1666666666666667,1.506024953286365,1.2310631203863402
37,1.2,1.494488266945472,-0.257484830942788
38,1.2333333333333334,1.4000803681159852,1.3138140762584751
39,1.2666666666666666,1.2429664584790037,-0.36071725572991004
40,1.3,1.0464203511040613,1.9433293648701322
41,1.3333333333333333,0.8332227516732396,-0.03217590393597241
42,1.3666666666666667,0.6223354207229933,1.1287256141371411
43,1.4,0.42639628509209454,-0.4480282539182545
44,1.4333333333333333,0.25045687104951875,1.2953685738725498
45,1.4666666666666666,0.09218193904589608,-0.3472086985110627
46,1.5,-0.056523940632928475,1.4501096503116335
47,1.5333333333333334,-0.20676039011209296,-0.41834682170901133
48,1.5666666666666667,-0.3692571769398802,0.9061328906884811
49,1.6,-0.5510152152397432,-0.10056657057401788
50,1.6333333333333333,-0.752603500263954,1.5866160022995142
51,1.6666666666666667,-0.9666444215059428,-1.1069911426118253
52,1.7,-1.1778105529371252,1.1628797856285813
53,1.7333333333333334,-1.3643829792783078,-1.3675633260127373
54,1.7666666666666666,-1.5011419149261336,0.2539317672938748
55,1.8,-1.5631346600438092,-0.4872082463898907
56,1.8333333333333333,-1.529732383490169,0.601130820608316
57,1.8666666666666667,-1.388351924463389,-0.03241766760828842
58,1.9,-1.1372639144857684,0.5767160875956717
59,1.9333333333333333,-0.7870133511737449,-0.46600380608065006
60,1.9666666666666666,-0.3601377317066905,-0.8967716359756426
61,2.0,0.11091068297478687,1.1231139559720298
62,2.033333333333333,0.5874494840080973,0.17911803554687727
63,2.066666666666667,1.029363567989623,0.6625328309795622
64,2.1,1.4002674820171919,-0.1401581147755118
65,2.1333333333333333,1.6721564296048572,1.7100798807461601
66,2.1666666666666665,1.8287097702692363,1.2035645617136692
67,2.2,1.866627804735596,2.053069618841715
68,2.2333333333333334,1.7947572979289137,0.6378714621748296
69,2.2666666666666666,1.6312343177738322,0.27966989002417525
70,2.3,1.3993319302707274,-0.974237636221509
71,2.3333333333333335,1.1230016401861966,-0.8432725726208117
72,2.3666666666666667,0.8231277829133794,-0.25681313718532933
73,2.4,0.5152525004288331,0.4883092610704064
74,2.433333333333333,0.20906863712288437,0.4092217465760914
75,2.466666666666667,-0.09051310904842583,-0.06541419909578941
76,2.5,-0.38127615773934354,-0.868307778258385
